rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
41, 4.90648195374577e-05, 4.906746348699746e-05, 4.907006585821367e-05, 4.906985771788015e-05, 4.9066968067230376e-05, 4.9069918891817306e-05, 4.906746348699746e-05, 4.9068496525270625e-05, 4.906870555455064e-05, 4.907312653066133e-05
42, 4.906682825296976e-05, 4.906839616459355e-05, 4.907036383169641e-05, 4.90701395969771e-05, 4.906985771788015e-05, 4.906746348699746e-05, 4.906898115059001e-05, 4.9068938150354146e-05, 4.9067984199667866e-05, 4.907261385792584e-05
43, 4.9069100441184775e-05, 4.906954607171274e-05, 4.906997510330196e-05, 4.907052331951145e-05, 4.906954870827616e-05, 4.906746348699746e-05, 4.906985771788015e-05, 4.9068861444033957e-05, 4.906810358653785e-05, 4.907261385792584e-05
44, 4.9066046732579484e-05, 4.907008211135075e-05, 4.9069918891817306e-05, 4.907004405013242e-05, 4.906655844714016e-05, 4.9068574870110606e-05, 4.9068938150354146e-05, 4.906828456038153e-05, 4.90653014203369e-05, 4.9073780319470175e-05
45, 4.9065150659544355e-05, 4.906754094012557e-05, 4.906938289186234e-05, 4.906954870827616e-05, 4.9068728702553396e-05, 4.9068284372581206e-05, 4.906786179658686e-05, 4.906985771788015e-05, 4.906746348699746e-05, 4.9073281745045896e-05
46, 4.90691680612765e-05, 4.9068728702553396e-05, 4.906973005395564e-05, 4.9068861444033957e-05, 4.9069562245047375e-05, 4.9068798673989274e-05, 4.906974268307134e-05, 4.906954870827616e-05, 4.906613603809919e-05, 4.907345577570345e-05
47, 4.906703085185221e-05, 4.906840127856481e-05, 4.906821457596574e-05, 4.907020414747153e-05, 4.906825056854519e-05, 4.906893969854432e-05, 4.906921965531032e-05, 4.9067326847948646e-05, 4.906961815955215e-05, 4.907272673887757e-05
48, 4.906985771788015e-05, 4.906961815955215e-05, 4.907055856661497e-05, 4.906954870827616e-05, 4.906671990125769e-05, 4.906971465342602e-05, 4.906954870827616e-05, 4.907050864326624e-05, 4.906943691823555e-05, 4.907261385792584e-05
49, 4.9068345304232987e-05, 4.9068728702553396e-05, 4.906746348699746e-05, 4.90701395969771e-05, 4.906954870827616e-05, 4.906868317463739e-05, 4.906985771788015e-05, 4.9068574870110606e-05, 4.9067465564770136e-05, 4.907272673887757e-05
50, 4.906798249744731e-05, 4.906954870827616e-05, 4.907070591248079e-05, 4.9068384272929075e-05, 4.906954870827616e-05, 4.9066358969880934e-05, 4.906934754532013e-05, 4.906574105472905e-05, 4.906950302233044e-05, 4.907261385792584e-05
