rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
23, 4.957142993235553e-05, 4.956908645876156e-05, 4.957142993235553e-05, 4.956078156685047e-05, 4.955658426808014e-05, 4.955906694263903e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.956906859077802e-05
24, 4.9072497370144385e-05, 4.955824975478231e-05, 4.956317918025011e-05, 4.9559203939425796e-05, 4.9558488385302105e-05, 4.9471408461320114e-05, 4.95677918987097e-05, 4.957142993235553e-05, 4.9297895196154854e-05, 4.956989883414623e-05
25, 4.956906700349628e-05, 4.957142993235553e-05, 4.955512877711777e-05, 4.955705815685691e-05, 4.947568497342694e-05, 4.947201158155147e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.905181322709011e-05, 4.956712506991113e-05
26, 4.906078066274927e-05, 4.956317918025011e-05, 4.956317918025011e-05, 4.957142993235553e-05, 4.9559960424474445e-05, 4.947752390824856e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.956317918025011e-05, 4.9563938982678496e-05
27, 4.956906700349628e-05, 4.956990087851581e-05, 4.956451242235739e-05, 4.956028557208472e-05, 4.9470599712281184e-05, 4.9472036073495255e-05, 4.956906700349628e-05, 4.9563258550174305e-05, 4.956910693373709e-05, 4.957142981686117e-05
28, 4.9569272933266136e-05, 4.95567568121446e-05, 4.9560926995718413e-05, 4.9564140079464536e-05, 4.956479086942689e-05, 4.947724078104629e-05, 4.9570010955289174e-05, 4.9569272933266136e-05, 4.909277165986546e-05, 4.957142981686117e-05
29, 4.956910693373709e-05, 4.9557192173336286e-05, 4.957142993235553e-05, 4.956317918025011e-05, 4.9558488385302105e-05, 4.9480301571732525e-05, 4.9570010955289174e-05, 4.957142993235553e-05, 4.956910693373709e-05, 4.956910698287902e-05
30, 4.956906700349628e-05, 4.955643692703898e-05, 4.9558680642698306e-05, 4.956182914193477e-05, 4.956047030276661e-05, 4.947208259773106e-05, 4.956336542115934e-05, 4.957142993235553e-05, 4.927206572515316e-05, 4.956906859077802e-05
31, 4.942731615715608e-05, 4.956910693373709e-05, 4.957142993235553e-05, 4.9563641646898875e-05, 4.9560141181044435e-05, 4.947332925907406e-05, 4.956375923261904e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.956910698287902e-05
32, 4.957142993235553e-05, 4.956906700349628e-05, 4.9558262830636875e-05, 4.955978058783122e-05, 4.955700111368651e-05, 4.947614003414897e-05, 4.956569969620692e-05, 4.957142993235553e-05, 4.9237310430184796e-05, 4.956251881071987e-05
33, 4.897179280249001e-05, 4.9563701982409206e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.956317918025011e-05, 4.946448979125619e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.956990087851581e-05, 4.9553069061636745e-05
34, 4.9569272933266136e-05, 4.956906700349628e-05, 4.957142993235553e-05, 4.956906700349628e-05, 4.955611892475675e-05, 4.947204313203537e-05, 4.956906700349628e-05, 4.956990087851581e-05, 4.934354305852648e-05, 4.952923526020792e-05
35, 4.927943687237895e-05, 4.9548558971633907e-05, 4.9563641646898875e-05, 4.9563641646898875e-05, 4.952831877723409e-05, 4.94719995228208e-05, 4.956906700349628e-05, 4.956906700349628e-05, 4.9561691587778075e-05, 4.956906859077802e-05
36, 4.934416992386364e-05, 4.955594421912589e-05, 4.956042342301018e-05, 4.956317918025011e-05, 4.956037347305397e-05, 4.94770711917148e-05, 4.956910693373709e-05, 4.957142993235553e-05, 4.95459429637751e-05, 4.957142981686117e-05
37, 4.956906700349628e-05, 4.956910693373709e-05, 4.9551860021760107e-05, 4.956625951919537e-05, 4.947656021531895e-05, 4.947480902083019e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.955561262562711e-05, 4.956952929991513e-05
38, 4.899509999216157e-05, 4.9567126856077416e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.947691091070596e-05, 4.9560141181044435e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.920743129861805e-05, 4.957044114594467e-05
39, 4.956906700349628e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.9472028013937175e-05, 4.9563369639016884e-05, 4.957142993235553e-05, 4.956317918025011e-05, 4.9289087142031365e-05, 4.955720827923403e-05
40, 4.956990087851581e-05, 4.956906700349628e-05, 4.956906700349628e-05, 4.957142993235553e-05, 4.947185085117171e-05, 4.94720426523287e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.9454845382105374e-05, 4.957142981686117e-05
41, 4.9035783842026226e-05, 4.956990087851581e-05, 4.9562023144728014e-05, 4.955924664884104e-05, 4.948019779095116e-05, 4.955956078107474e-05, 4.956906700349628e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142981686117e-05
42, 4.9562104699604005e-05, 4.956451242235739e-05, 4.957142993235553e-05, 4.9562104699604005e-05, 4.955613026322914e-05, 4.947750221630525e-05, 4.957142993235553e-05, 4.956673067919473e-05, 4.957142993235553e-05, 4.956803682503199e-05
43, 4.956906700349628e-05, 4.956375923261904e-05, 4.9567126856077416e-05, 4.957142993235553e-05, 4.955787198247143e-05, 4.9558488385302105e-05, 4.9567126856077416e-05, 4.956906700349628e-05, 4.954408122468962e-05, 4.956989883414623e-05
44, 4.942816145312604e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.9567126856077416e-05, 4.9556519671809116e-05, 4.9464281760870663e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142981686117e-05
45, 4.956990087851581e-05, 4.9550891434785273e-05, 4.956906700349628e-05, 4.9560096058095804e-05, 4.947203258093819e-05, 4.9481018953691e-05, 4.956910693373709e-05, 4.956990087851581e-05, 4.956990087851581e-05, 4.956906859077802e-05
46, 4.956906700349628e-05, 4.9560926995718413e-05, 4.9570010955289174e-05, 4.9562878279409504e-05, 4.9476618424715157e-05, 4.9477475843765094e-05, 4.956186445971837e-05, 4.956906700349628e-05, 4.900341155263178e-05, 4.956906859077802e-05
47, 4.894502989800495e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.955411806155209e-05, 4.946294975851434e-05, 4.957142993235553e-05, 4.956906700349628e-05, 4.899007305370691e-05, 4.956906859077802e-05
48, 4.915397337134692e-05, 4.9560926995718413e-05, 4.957142993235553e-05, 4.956307539297359e-05, 4.9562597308945365e-05, 4.9477080751080784e-05, 4.957142993235553e-05, 4.956990087851581e-05, 4.956674970758885e-05, 4.956989883414623e-05
49, 4.956990087851581e-05, 4.955833320557442e-05, 4.955683323409188e-05, 4.955725587249319e-05, 4.947875787845196e-05, 4.9478570284966165e-05, 4.956990087851581e-05, 4.956910693373709e-05, 4.956990087851581e-05, 4.957142981686117e-05
50, 4.956267451286574e-05, 4.957142993235553e-05, 4.955727680432191e-05, 4.956160714804682e-05, 4.948012466308603e-05, 4.955815786295996e-05, 4.956910693373709e-05, 4.956906700349628e-05, 4.957142993235553e-05, 4.956910698287902e-05
