rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND
23, 1.611916477589397e-05, 1.611947415060904e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.611942918664379e-05, 1.611924137209787e-05, 1.611947415060904e-05, 1.611924137209787e-05, 1.6118998848399954e-05
24, 1.6119077516167617e-05, 1.6119243182333282e-05, 1.611924137209787e-05, 1.611916477589397e-05, 1.6119077516167617e-05, 1.611924137209787e-05, 1.6119243182333282e-05, 1.6119077516167617e-05, 1.6119077516167617e-05
25, 1.6119077516167617e-05, 1.6118889908837546e-05, 1.6118889908837546e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.611924137209787e-05, 1.6119077516167617e-05, 1.6119243182333282e-05, 1.6119077516167617e-05
26, 1.6119243182333282e-05, 1.611916477589397e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.6119077516167617e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.611942918664379e-05, 1.611930768071211e-05
27, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.611924137209787e-05, 1.611947415060904e-05, 1.611916477589397e-05, 1.611916477589397e-05, 1.6119077516167617e-05, 1.6119243182333282e-05, 1.6119077516167617e-05
28, 1.611930768071211e-05, 1.6119398097326676e-05, 1.6119218083833604e-05, 1.6119361313090042e-05, 1.611938722323947e-05, 1.611942918664379e-05, 1.6119243182333282e-05, 1.6119345772964568e-05, 1.611938722323947e-05
29, 1.611924137209787e-05, 1.611942918664379e-05, 1.611924137209787e-05, 1.6119243182333282e-05, 1.6119499375408022e-05, 1.6119243182333282e-05, 1.6119243182333282e-05, 1.6119243182333282e-05, 1.6119243182333282e-05
30, 1.611926337270861e-05, 1.611947415060904e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.611942918664379e-05, 1.611880745816118e-05, 1.611930768071211e-05, 1.611942918664379e-05, 1.611942918664379e-05
31, 1.6119130073411378e-05, 1.6119077516167617e-05, 1.6119361219809705e-05, 1.6119398097326676e-05, 1.6119077516167617e-05, 1.611924137209787e-05, 1.6119243182333282e-05, 1.6119243182333282e-05, 1.6119130073411378e-05
32, 1.611924137209787e-05, 1.6119243182333282e-05, 1.611926337270861e-05, 1.6119218083833604e-05, 1.611938722323947e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.611942918664379e-05, 1.611926337270861e-05
33, 1.6119028214069535e-05, 1.6119242353475622e-05, 1.6118889908837546e-05, 1.6119077516167617e-05, 1.611880745816118e-05, 1.611856330163561e-05, 1.611919930625963e-05, 1.6119243182333282e-05, 1.6119028214069535e-05
34, 1.6118888149605917e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.611930768071211e-05, 1.611924137209787e-05, 1.6119176963890294e-05, 1.611942918664379e-05, 1.6119243182333282e-05, 1.611897266460813e-05
35, 1.6119077516167617e-05, 1.611942918664379e-05, 1.6119482761106955e-05, 1.611924137209787e-05, 1.6118889908837546e-05, 1.6119499375408022e-05, 1.611930768071211e-05, 1.6119028214069535e-05, 1.6119077516167617e-05
36, 1.611942918664379e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.6119398097326676e-05, 1.611942918664379e-05, 1.611942918664379e-05, 1.611942918664379e-05, 1.611930768071211e-05, 1.611942918664379e-05
37, 1.6119077516167617e-05, 1.611924137209787e-05, 1.6119243182333282e-05, 1.6119361219809705e-05, 1.6119243182333282e-05, 1.611924137209787e-05, 1.6119077516167617e-05, 1.6119243182333282e-05, 1.611930768071211e-05
38, 1.6119077516167617e-05, 1.611924137209787e-05, 1.6119243182333282e-05, 1.6119243182333282e-05, 1.611919930625963e-05, 1.611919930625963e-05, 1.611919930625963e-05, 1.611897266460813e-05, 1.6119077516167617e-05
39, 1.6119077516167617e-05, 1.6118889908837546e-05, 1.6118889908837546e-05, 1.611930768071211e-05, 1.6119077516167617e-05, 1.6119482761106955e-05, 1.611942918664379e-05, 1.6119482761106955e-05, 1.611924137209787e-05
40, 1.6119243182333282e-05, 1.6119361219809705e-05, 1.6119243182333282e-05, 1.611938722323947e-05, 1.6119077516167617e-05, 1.611942918664379e-05, 1.6118889908837546e-05, 1.611919930625963e-05, 1.611926337270861e-05
41, 1.611916477589397e-05, 1.611919930625963e-05, 1.611924137209787e-05, 1.611947415060904e-05, 1.6119218083833604e-05, 1.611924137209787e-05, 1.611924137209787e-05, 1.611916477589397e-05, 1.611916477589397e-05
42, 1.6119242353475622e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.611930768071211e-05, 1.611919930625963e-05, 1.611926337270861e-05, 1.6119243182333282e-05, 1.6119243182333282e-05, 1.6119077516167617e-05
43, 1.611924137209787e-05, 1.611947415060904e-05, 1.611899871848889e-05, 1.611930768071211e-05, 1.611926337270861e-05, 1.6119077516167617e-05, 1.611947415060904e-05, 1.611926337270861e-05, 1.611947415060904e-05
44, 1.6118889908837546e-05, 1.611919930625963e-05, 1.6118998848399954e-05, 1.611926337270861e-05, 1.6119243182333282e-05, 1.611919930625963e-05, 1.6119024175120916e-05, 1.6119077516167617e-05, 1.611916477589397e-05
45, 1.611916477589397e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.611916477589397e-05, 1.611930768071211e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.611919930625963e-05, 1.611916477589397e-05
46, 1.611930768071211e-05, 1.611924137209787e-05, 1.611919930625963e-05, 1.611924137209787e-05, 1.6119482761106955e-05, 1.6119518522132637e-05, 1.611926337270861e-05, 1.611919930625963e-05, 1.611930768071211e-05
47, 1.6119243182333282e-05, 1.6119218083833604e-05, 1.61192691245818e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.611930768071211e-05, 1.611947415060904e-05, 1.611930768071211e-05, 1.6119243182333282e-05
48, 1.6119176963890294e-05, 1.611930768071211e-05, 1.611942918664379e-05, 1.611942918664379e-05, 1.611916477589397e-05, 1.611930768071211e-05, 1.611916477589397e-05, 1.6119361219809705e-05, 1.6119176963890294e-05
49, 1.611919930625963e-05, 1.611947415060904e-05, 1.61192691245818e-05, 1.611930768071211e-05, 1.6119243182333282e-05, 1.6119176963890294e-05, 1.6119398097326676e-05, 1.611930768071211e-05, 1.6119243182333282e-05
50, 1.6119365651796157e-05, 1.611916477589397e-05, 1.611926337270861e-05, 1.611926337270861e-05, 1.6119077516167617e-05, 1.6119482761106955e-05, 1.611942918664379e-05, 1.611942918664379e-05, 1.6119365651796157e-05
